distr,name,use,memo
norm,normal distribution,TRUE,
lnorm,log-normal distribution,TRUE,
gev,generalized extreme value distribution,TRUE,
Gumbel,Gumbel distribution,TRUE,
invweibull,inverse Weibull distribution(Frechet distribution),TRUE,
weibull,Weibull distribution,TRUE,
weibull3,3-parameter Weibull distribution,TRUE,
rweibull,reverse Weibull distribution,TRUE,
rayleigh,Rayleigh distribution,TRUE,
GPD,generalized Pareto distribution,TRUE,
exp,exponential distribution,TRUE,
normp2, Exponential power distribution,TRUE,
Wald,Wald distribution(Inverse Gaussian distribution),TRUE,
pareto1,single-parameter Pareto distribution,TRUE,
pareto_ac,Pareto type I distribution,TRUE,???Ƃ?actuar?̊֐?
pareto2,Pareto type II distribution,TRUE,
pareto3,Pareto type III distribution,TRUE,
pareto4,Pareto type IV distribution,TRUE,
Lomax,Lomax distribution,TRUE,
pearson1,Pearson type I distribution(Beta distribution),TRUE,FALSE
pearson2,Pearson type II distributionI(Symmetric beta distribution),TRUE,
pearson3,Pearson type III distribution(Gamma distribution),TRUE,FALSE
pearson4,Pearson type IV distribution,TRUE,
pearson5,Pearson type V distribution(Inverse gamma distribution),TRUE,FALSE
Pearson6,Pearson type VI distribution(Beta Prime distribution),TRUE,Not actuar
pearson7,Pearson type VII distribution(Student's t distribution),TRUE,FALSE
multiweibull,multi-modal Weibull distribution,TRUE,
Burr,Burr Type XII distribution,TRUE,
BurrXII,extended Burr Type XII distribution,TRUE,
johnsonSU,Johnson's SU-distribution,TRUE,
johnsonSB,Johnson's SB-distribution,TRUE,
pois,Poisson distribution,TRUE,
cauchy,Cauchy distribution,TRUE,
Levy,Levy distribution,TRUE,
gamma,Gamma distribution,TRUE,
Laplace,Laplace distribution(double exponential distribution),TRUE,
gompertz,Gompertz distribution,TRUE,
muth,Muth distribution,TRUE,
fatigue,Birnbaum-Saunders distribution(fatigue life distribution),TRUE,
logis,logistic distribution,TRUE,
nbinom,negative binomial bistribution,TRUE,
geom,geometric distribution,TRUE,
beta,beta distribution,TRUE,
invgamma,inverse gamma distribution,TRUE,
llogis,loglogistic distribution,TRUE,
normmix2,mixture of 2 normal distributions,TRUE,
normmix3,mixture of 3 normal distributions,FALSE,
normmix4,mixture of 4 normal distributions,FALSE,
lnormmix2,mixture of 2 log-normal distributions,TRUE,
tnorm,truncated normal distribution,TRUE,
zmnorm,zero-modified normal distribution,TRUE,
voigt,Voigt profile,FALSE,
unif,uniform distribution,TRUE,
triangle,triangular distribution,TRUE,
chi2,chi-squared distribution,TRUE,
ncchi2,noncentral chi-squared distribution,TRUE,
t2,Student t distribution,TRUE,
nct,noncentral t-distribution,TRUE,
F,F distribution,FALSE,
ncF,noncentral F distribution,FALSE,
